resourceId	address	city	country	postalCode	state	use
37c124ac-b290-4bb9-8fe9-a93c49e9962f	Nyanyadzi, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
54dbf22c-ae95-484a-8e9b-cebd6c65753c	Nyahode, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
05f2ba43-5076-4de4-995f-c3736325acad	Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	
4a1bd54f-81f1-4fa5-b7c2-4b5eb0d4ee19	Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	
b3c6d3eb-96a0-4626-b5ce-1fc6bee22c8c	Chisumbanje, Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	work
c8fcdd3c-5e36-47a5-bc2d-b7d5cf5e42c7	Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	
23f72cc5-9207-4c04-b747-9e514e2cf9c5	Mount Selinda, Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	
8bd099e2-0166-4a26-85fc-58048a15ddb3	Gumira, Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	work
e2c42279-7a2d-4a72-b58a-18c7078fa329	Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	
263af807-5325-4e97-a1dd-f546dd24b32f	Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	
05e68df0-6bbb-4d9a-8b41-abcebac13ab5	Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	work
ea2086d4-bef1-4a65-9714-9a1c11bf4a8d	Birchenough Bridge, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
2b5bd3a1-ea23-4c89-a310-8e5a12fa097e	Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
99f1bea1-b38b-4211-a835-8bf27f04013a	Dzorora, Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	
90c93d80-8381-4a6a-968d-6a1a85b79305	Rupisi, Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	
5038b8d7-5eaf-43d7-8a59-9adf2850e1d0	Dzorora, Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	work
2e36d624-a46e-40df-bd29-ce5e8a2983a7	Rupisi, Chipinge, Manicaland Province, ZW	Chipinge		ZW	Manicaland Province	work
a43845a8-855e-4d8d-8552-59623de8aae1	Matibis, Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	
b6a39dc3-62fc-4f77-bc6f-638a238d18f2	Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	
0dd59c1a-8914-4df1-915b-3103447807cd	Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	work
516de4bc-22d7-419f-a55b-890eb6c6e239	Sengwe, Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	
4650c4f3-6b06-4201-9231-120e9a2fbaf4	Boli, Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	
30a3817e-195a-4d48-9d37-b01cd230d383	Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	work
f902d2c7-e662-4a82-bb0b-cc2a442e988e	Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	
91502554-cdfd-474e-b136-9f587fe34852	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
cfc1e630-25ac-44e0-a401-4967b11544bb	Tshiturapadsi, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
b1d07361-4823-4e6e-b315-57d2d8bbceac	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
8f0cc2e4-7bb0-4b40-8185-42259da2ff59	Maramani, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
d33a7eb6-aa2c-4517-9e46-d3dac857b288	Village 14 Devure Resettlement Area, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
a7dddf8e-39dc-4533-aade-a4d7355d3e82	Village 14 Devure Resettlement Area, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
ee013ec2-1ea0-4a29-9327-cc0384abcd3c	Nyika Growth Point, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
